Bokföringsdag;Belopp;Avsändare;Mottagare;Namn;Rubrik;Meddelande;Egna anteckningar;Saldo;Valuta
2022/09/29;-368,00;51 86 87-9;5249-4309;PostNord Sverige AB;PostNord Sverige AB;804993767420;Import HDMI-recorder;23998,96;SEK
2022/09/27;-783,75;51 86 87-9;5343-2795;LOOPIA AB (WEBSUPPORT);LOOPIA AB (WEBSUPPORT);382361996;Webhotell Q3;24366,96;SEK
2022/09/26;-1031,00;51 86 87-9;5211-5664;COLLY COMPONENTS AB;COLLY COMPONENTS AB;Fnr:203864570, The ITfied;;25150,71;SEK
2022/09/22;-2855,00;51 86 87-9;417 74 04-3;WALLEY;WALLEY;100003746670150;metabo LiHD 2x5,5Ah;26181,71;SEK
2022/09/22;739,69;;51 86 87-9;BG KONTOINS;BG KONTOINS;0817-9780 GOOGLE IRELA;;;SEK
2022/09/21;25000,00;32592317244;51 86 87-9;Insättning;Insättning;Överföring;;28297,02;SEK
2022/09/20;-4765,00;51 86 87-9;5307-1676;SVEA BANK AB;SVEA BANK AB;75794000504056377;GoPro Hero 8 + tillb;3297,02;SEK
2022/09/19;-13578,00;51 86 87-9;;KORT             SCANDINAVIANPHO 26;KORT             SCANDINAVIANPHO 26;SCANDINAVIANPHO 2656;;8062,02;SEK
2022/09/19;-694,00;51 86 87-9;;KORT             SvE*SRSBSE      26;KORT             SvE*SRSBSE      26;SvE*SRSBSE      2656;;;SEK
2022/09/15;-904,00;51 86 87-9;824-3040;TELIA SVERIGE AB;TELIA SVERIGE AB;20528877226;Mobil Q3;22334,02;SEK
2022/09/15;-227,00;51 86 87-9;;KORT             PAYPAL *WEBHALL 26;KORT             PAYPAL *WEBHALL 26;PAYPAL *WEBHALL 2656;;;SEK
2022/09/15;-191,00;51 86 87-9;412 20 00-5;SVEA BANK AB;SVEA BANK AB;46463102721744677;How to solve it;;SEK
2022/09/15;-118,00;51 86 87-9;;KORT             WWW NETONNET SE 26;KORT             WWW NETONNET SE 26;WWW NETONNET SE 2656;;;SEK
2022/09/14;-665,88;51 86 87-9;;KORT             PAYPAL *EIBMARK 26;KORT             PAYPAL *EIBMARK 26;PAYPAL *EIBMARK 2656;;23774,02;SEK
2022/09/14;-384,80;51 86 87-9;SE4412000000012200137117;Proshop;Proshop;Referenstext:  126656422;;;SEK
2022/09/14;-182,38;51 86 87-9;5562-5735;FEDERAL EXPRESS CORP;FEDERAL EXPRESS CORP;Fnr:111357826, The ITfied;Tull Filmtools arm;;SEK
2022/09/13;-2963,94;51 86 87-9;5579-0372;RS Components AB;RS Components AB;Fnr:11449604, The ITfied;Skruvstycken;25007,08;SEK
2022/09/13;-2398,00;51 86 87-9;;KORT             WEBHALLEN       26;KORT             WEBHALLEN       26;WEBHALLEN       2656;;;SEK
2022/09/13;-164,37;51 86 87-9;;KORT             BEANSTALK APP   26;KORT             BEANSTALK APP   26;BEANSTALK APP   2656;;;SEK
2022/09/13;20000,00;32592317244;51 86 87-9;Insättning;Insättning;SPAR TILL PG;;;SEK
2022/09/12;-149,00;51 86 87-9;;KORT             WEBHALLEN       26;KORT             WEBHALLEN       26;WEBHALLEN       2656;;10533,39;SEK
2022/09/12;799,00;;51 86 87-9;KORT;KORT;Elgiganten se   2656;;;SEK
2022/09/12;1499,00;;51 86 87-9;KORT;KORT;Elgiganten se   2656;;;SEK
2022/09/09;-2936,96;51 86 87-9;;KORT             CLEARCLICK      26;KORT             CLEARCLICK      26;CLEARCLICK      2656;;8384,39;SEK
2022/09/08;-446,00;51 86 87-9;5020-7042;Fortnox Finans AB;Fortnox Finans AB;59452375931949;Bokf app sep-nov;11321,35;SEK
2022/09/05;-4190,00;51 86 87-9;;KORT             RAJALA CAMERA   26;KORT             RAJALA CAMERA   26;RAJALA CAMERA   2656;;11767,35;SEK
2022/09/05;-1499,00;51 86 87-9;;KORT             Elgiganten se   26;KORT             Elgiganten se   26;Elgiganten se   2656;;;SEK
2022/09/05;-799,00;51 86 87-9;;KORT             Elgiganten se   26;KORT             Elgiganten se   26;Elgiganten se   2656;;;SEK
2022/09/05;-10,50;51 86 87-9;;PRIS ENL SPEC;PRIS ENL SPEC;;;;SEK
2022/08/26;-890,00;51 86 87-9;;KORT             NETS*djistockho 26;KORT             NETS*djistockho 26;NETS*djistockho 2656;;18265,85;SEK
2022/08/25;-39550,00;51 86 87-9;32592317244;Uttag;Uttag;ÅTERBETALNING;;19155,85;SEK
2022/08/24;-399,75;51 86 87-9;5365-8274;SCHUCHARDT MASKIN AB;SCHUCHARDT MASKIN AB;Moms F211366;Moms Schuchardt M;58705,85;SEK
2022/08/23;-39565,04;51 86 87-9;DE42620500000013602749;Bort&Herkert GmbH;Bort&Herkert GmbH;Order 89903 (K-O Högdal,;;59105,60;SEK
2022/08/23;504,00;;51 86 87-9;BG KONTOINS;BG KONTOINS;5050-1030 SK5567828172;;;SEK
2022/08/23;39550,00;;51 86 87-9;HÖGDAL,KJELL-OLOV;HÖGDAL,KJELL-OLOV;HÖGDAL,KJELL-OLOV;;;SEK
2022/08/22;-1599,00;51 86 87-9;5365-8274;SCHUCHARDT MASKIN AB;SCHUCHARDT MASKIN AB;Order: W44781;Parellellblock 150mm;58616,64;SEK
2022/08/22;39550,00;32592317244;51 86 87-9;Insättning;Insättning;PRIVAT UTL.BET;;;SEK
2022/08/15;-1419,40;51 86 87-9;;KORT             KJELL O CO 84   26;KORT             KJELL O CO 84   26;KJELL O CO 84   2656;;20665,64;SEK
2022/08/12;-155,94;51 86 87-9;;KORT             BEANSTALK APP   26;KORT             BEANSTALK APP   26;BEANSTALK APP   2656;;22085,04;SEK
2022/08/09;-1917,00;51 86 87-9;;KORT             PAYPAL *THOMANN 26;KORT             PAYPAL *THOMANN 26;PAYPAL *THOMANN 2656;;22240,98;SEK
2022/08/08;-4197,00;51 86 87-9;;KORT             PAYPAL *THOMANN 26;KORT             PAYPAL *THOMANN 26;PAYPAL *THOMANN 2656;;24157,98;SEK
2022/08/08;-3829,41;51 86 87-9;;KORT             PAYPAL *FILMTOO 26;KORT             PAYPAL *FILMTOO 26;PAYPAL *FILMTOO 2656;;;SEK
2022/08/08;-3290,00;51 86 87-9;;KORT             KJELL O CO      26;KORT             KJELL O CO      26;KJELL O CO      2656;;;SEK
