Blad1: Table 1
2018;;Inkomstdeklaration 2;2019 P1;;;;;
;;  ;;;;;;
;;;;;;;;
;;För deklarationer som lämnas fr.o.m. period 1 2018;Ändring i kopplingstabellen jämfört med föregående år.;❙;;;;
;;;;;;;;
Fält-kod;Rad Ink 2;Benämning;Konton i BAS 2017;;;;;
;;BALANSRÄKNING;;;;;;
;;Tillgångar;;;;;;
;;;;;;;;
;;Anläggningstillgångar;;;;;;
;;;;;;;;
;;Immateriella anläggningstillgångar;;;;;;
7201;2.1;Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter;10xx exkl. 1088;;;;;
7202;2.2;Förskott avseende immateriella anläggningstillgångar;1088;;;;;
;;;;;;;;
;;Materiella anläggningstillgångar;;;;;;
7214;2.3;Byggnader och mark;11xx exkl. (112x, 118x);;;;;
7215;2.4 ;Maskiner, inventarier och övriga materiella anläggningstillgångar;12xx exkl. 128x;;;;;
7216;2.5;Förbättringsutgifter på annans fastighet;112x;;;;;
7217;2.6;Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar;118x, 128x;;;;;
;;;;;;;;
;;Finansiella anläggningstillgångar;;;;;;
7230;2.7;Andelar i koncernföretag;131x;;;;;
7231;2.8;Andelar i intresseföretag och gemensamt styrda företag;133x exkl. (1336 och 1337);;;;;
7233;2.9;Ägarintresse i övriga företag och andra långfristiga värdepappersinnehav;135x, 1336, 1337;;;;;
7232;2.10;Fordringar hos koncern-, intresse och gemensamt styrda företag;132x, 134x exkl. (1346, 1347);;;;;
7234;2.11;Lån till delägare eller närstående;136x;;;;;
7235;2.12;Fordringar hos övriga företag som det finns ett ett ägarintresse i och Andra långfristiga fordringar;137x, 138x, 1346, 1347;;;;;
;;;;;;;;
;;Omsättningstillgångar;;;;;;
;;;;;;;;
;;Varulager;;;;;;
7241;2.13;Råvaror och förnödenheter;141x, 142x;;;;;
7242;2.14;Varor under tillverkning;144x;;;;;
7243;2.15;Färdiga varor och handelsvaror;145x, 146x;;;;;
7244;2.16;Övriga lagertillgångar;149x;;;;;
7245;2.17;Pågående arbeten för annans räkning;147x;;;;;
7246;2.18;Förskott till leverantörer;148x;;;;;
;;;;;;;;
;;Kortfristiga fordringar;;;;;;
7251;2.19;Kundfordringar;151x–155x, 158x;;;;;
7252;2.20;Fordringar hos koncern-, intresse- och gemensamt styrda företag;156x-157x, 166x,167x exkl. 1573, 1673;❙;;;;
7261;2.21;Fordringar hos övriga företag som det finns ett ägarintresse i och Övriga fordringar;161x, 163x-165x, 1673, 168x-169x, 1573;❙;;;;
7262;2.22;Upparbetad men ej fakturerad intäkt;162x;;;;;
7263;2.23;Förutbetalda kostnader och upplupna intäkter;17xx;;;;;
;;;;;;;;
;;Kortfristiga placeringar;;;;;;
7270;2.24;Andelar i koncernföretag;186x;;;;;
7271;2.25;Övriga kortfristiga placeringar;18xx exkl. 186x;;;;;
;;;;;;;;
;;Kassa och bank;;;;;;
7281;2.26;Kassa, bank och redovisningsmedel;19xx;;;;;
;;;;;;;;
;;Eget kapital och skulder;;;;;;
;;Eget kapital;;;;;;
;;;;;;;;
7301;2.27;Bundet eget kapital;208x;;;;;
7302;2.28;Fritt eget kapital;209x;;;;;
;;;;;;;;
;;Obeskattade reserver och avsättningar;;;;;;
;;;;;;;;
;;Obeskattade reserver;;;;;;
7321;2.29;Periodiseringsfonder;211x-213x;;;;;
7322;2.30;Ackumulerade överavskrivningar;215x;;;;;
7323;2.31;Övriga obeskattade reserver;216x-219x;;;;;
;;;;;;;;
;;Avsättningar;;;;;;
7331;2.32;Avsättningar för pensioner och liknande förpliktelser enligt lagen (1967:531) om tryggande av pensionsutfästelserr m.m.;221x;;;;;
7332;2.33;Övriga avsättningar för pensioner och liknande förpliktelser;223x;;;;;
7333;2.34;Övriga avsättningar;222x-229x exkl. 223x;;;;;
;;;;;;;;
;;Skulder;;;;;;
;;;;;;;;
;;Långfristiga skulder (förfaller senare än 12 månader från balansdagen);;;;;;
7350;2.35;Obligationslån;231x-232x;;;;;
7351;2.36;Checkräkningskredit;233x;;;;;
7352;2.37;Övriga skulder till kreditinstitut;234x-235x;;;;;
7353;2.38;Skulder till koncern-, intresse och gemensamt styrda företag;236x-237x exkl. (2373);;;;;
7354;2.39;Skulder till övriga företag som det finns ett ägarintresse i och övriga skulder;238x-239x, 2373;;;;;
;;;;;;;;
;;Kortfristiga skulder (förfaller inom 12 månader från balansdagen);;;;;;
7360;2.40;Checkräkningskredit;248x;;;;;
7361;2.41;Övriga skulder till kreditinstitut;241x;;;;;
7362;2.42;Förskott från kunder;242x;;;;;
7363;2.43;Pågående arbeten för annans räkning;243x;;;;;
7364;2.44;Fakturerad men ej upparbetad intäkt;245x;;;;;
7365;2.45;Leverantörsskulder;244x;;;;;
7366;2.46;Växelskulder;2492;;;;;
7367;2.47;Skulder till koncern-, intresse och gemensamt styrda företag;246x-247x, 286x-287x exkl. (2473, 2873);;;;;
7369;2.48;Skulder till övriga företag som det finns ett ägarintresse i och Övriga skulder;249x exkl. 2492, 26xx-27xx, 28xx exkl. 286x-287x, 2473, 2873;;;;;
7368;2.49;Skatteskulder;25xx;;;;;
7370;2.50;Upplupna kostnader och förutbetalda intäkter;29xx;;;;;
;;;;;;;;
;;;;;;;;
;;RESULTATRÄKNING;;;;;;
;;;;;;;;
7410;3.1;Nettoomsättning;30xx-37xx;;;;;
7411;3.2;Förändring av lager av produkter i arbete, färdiga varor och pågående arbete för annans räkning;`+ 49xx exkl. (4910-4929, 496x, 498x);;;;;
7510;;;– 49xx exkl. (4910-4929, 496x, 498x);;;;;
