Fältnamn på K10_SKV2110-34-04-21-02;;;;;
;;;;;
;;;;;
Attribut;Fältnamn;Datatyp;Obl.;*/+/-;Regel
Framställningsdatum;DatFramst;Datum_A;J;;
Framställningstid;TidFramst;Tid_A;J;;
Fältkodsnummer;FältKod;Numeriskt_E;N;;
Intern information för framställande program/system;SystemInfo;Str_250;N;;
Korrekt person-/samordningsnummer eller organisationsnummer som inleds med 161 (dödsbo) eller 163 (gemensamma distriktet);PersOrgNr;Orgnr_Id_PD;J;;
Uppgiftslämnarens namn;Namn;Str_250;N;;
Företagets organisationsnummer;4530;Orgnr_Id_O;J;;Ingen kontroll av värdet sker om 7050 är ifyllt
Antal ägda andelar vid årets ingång;4531;Numeriskt_B;N;;
Totala antalet andelar i hela företaget vid årets ingång;4532;Numeriskt_B;N;;
Bolaget är ett utländskt bolag;7050;Str_X;N;;
1.1 Årets gränsbelopp enligt förenklingsregeln;4511;Numeriskt_B;N;+;Regel_E
1.2 Sparat utdelningsutrymme från föregående år x 103 %;4501;Numeriskt_B;N;+;Regel_E
1.3 Gränsbelopp enligt förenklingsregeln;4502;Numeriskt_B;N;*;Regel_E
1.4 Vid avyttring eller gåva innan utdelningstillfället...;4720;Numeriskt_B;N;-;Regel_E
1.5 Gränsbelopp att ytnyttja vid  p. 1.7 nedan;4503;Numeriskt_B;N;*;Regel_E
1.6 Utdelning;4504;Numeriskt_B;N;+;Regel_E
1.7 Gränsbeloppet enligt p. 1.5 ovan;4721;Numeriskt_B;N;-;Regel_E
1.8 Utdelning som beskattas i tjänst;4505;Numeriskt_B;N;+;Regel_E
1.9 Sparat utdelningsutrymme;4722;Numeriskt_B;N;-;Regel_E
1.10 Vid delavyttring eller gåva efter utdelningstillfället : sparat utdelningsutrymme som är hänförligt till de överlåtna andelarna enligt p. 3.7a;4723;Numeriskt_B;N;-;Regel_E
1.11 Sparat utdelningsutrymme till nästa år;4724;Numeriskt_B;N;*;Regel_E
1.12 Utdelning;4506;Numeriskt_B;N;+;Regel_E
1.13 Belopp som beskattas i tjänst enligt p. 1.8 ovan;4725;Numeriskt_B;N;-;Regel_E
1.14 Utdelning i kapital;4507;Numeriskt_B;N;*;Regel_E
1.15 Beloppet i p. 1.5 x 2/3;4508;Numeriskt_B;N;+;Regel_E
1.16 Resterande utdelning;4509;Numeriskt_B;N;+;Regel_E
1.17 Utdelning som ska tas upp i kapital;4515;Numeriskt_B;N;*;Regel_E
2.1 Omkostnadsbelopp vid årets ingång (alternativt omräknat omkostnadsbelopp) x 9 %;4520;Numeriskt_B;N;+;Regel_F
2.2 Lönebaserat utrymme enligt avsnitt D p. 6.11;4521;Numeriskt_B;N;+;Regel_F
2.3 Sparat utdelningsutrymme från föregående år x 103 %;4522;Numeriskt_B;N;+;Regel_F
2.4 Gränsbelopp enligt huvudregeln;4523;Numeriskt_B;N;*;Regel_F
2.5 Vid avyttring eller gåva..innanutdelningstillfället...;4730;Numeriskt_B;N;-;Regel_F
2.6 Gränsbelopp att utnyttja vid punkt 2.8 nedan;4524;Numeriskt_B;N;*;Regel_F
2.7 Utdelning;4525;Numeriskt_B;N;+;Regel_F
2.8 Gränsbeloppet enligt p. 2.6 ovan;4731;Numeriskt_B;N;-;Regel_F
