Fältnamn på INK1_SKV2000-31-02-0021-01;;;;;
;;;;;
;;;;;
Attribut;Fältnamn;Datatyp;Obl.;*/+/-;Regel
Framställningsdatum;DatFramst;Datum_A;J;;
Framställningstid;TidFramst;Tid_A;J;;
Fältkodsnummer;FältKod;Numeriskt_E;N;;
Intern information för framställande program/system;SystemInfo;Str_250;N;;
Korrekt person-/samordningsnummer eller organisationsnummer som inleds med 161 (dödsbo) eller 163 (gemensamma distriktet);PersOrgNr;Orgnr_Id_PD;J;;
1.1 Lön, förmåner, sjukpenning m.m.;1000;Numeriskt_10;N;*;
1.2 Kostnadsersättningar;1001;Numeriskt_10;N;*;
1.3 Allmän pension och tjänstepension m.m.;1002;Numeriskt_10;N;*;
1.4 Privat pension och livränta;1003;Numeriskt_10;N;*;
1.5 Andra inkomster som inte är pensionsgrundande;1004;Numeriskt_10;N;*;
1.6 Inkomster, t.ex. hobby som du själv ska betala egenavgifter för;1005;Numeriskt_10;N;*;
1.7 Inkomst enligt bilaga K10, K10A och K13;1006;Numeriskt_10;N;*;
2.1 Resor till och från arbetet;1070;Numeriskt_10;N;*;
2.2 Tjänsteresor;1071;Numeriskt_10;N;*;
2.3 Tillfälligt arbete, dubbel bosättning och hemresor;1072;Numeriskt_10;N;*;
2.4 Övriga utgifter;1073;Numeriskt_10;N;*;
3.1 Socialförsäkringsavgifter enligt EU-förordning m.m.;1501;Numeriskt_10;N;*;
4.1 Rotarbete;1583;Numeriskt_10;N;*;
4.2 Rutarbete;1584;Numeriskt_10;N;*;
4.3 Förnybar el;1582;Numeriskt_10;N;*;
4.4 Gåva;1581;Numeriskt_10;N;*;
4.5 Installation av grön teknik;1585;Numeriskt_10;N;*;
5.1 Småhus/ägarlägenhet hel avgift, 0,75 %;80;Numeriskt_B;N;*;
5.2 Småhus/ägarlägenhet halv avgift, 0,375 %;82;Numeriskt_B;N;*;
6.1 Småhus/ägarlägenhet: tomtmark, byggnad under uppförande 1,0 %;84;Numeriskt_B;N;*;
7.1 Schablonintäkter;1106;Numeriskt_10;N;*;
7.2 Ränteinkomster, utdelningar m.m. Vinst enligt bilaga K4 avsnitt C m.m.;1100;Numeriskt_10;N;*;
7.3 Överskott vid uthyrning av privatbostad;1101;Numeriskt_10;N;*;
"7.4 Vinst fondandelar m.m. Vinst från bilaga K4 avsnitt A och B, K9 avsnitt B, 
K10, K10A, K11, K12 avsnitt B och K13.";1102;Numeriskt_10;N;*;
7.5 Vinst ej marknadsnoterade fondandelar m.m. Vinst från bilaga K4 avsnitt D, K9 avsnitt B, K12 avsnitt C och K15A/B m.m.;1103;Numeriskt_10;N;*;
7.6 Vinst från bilaga K5 och K6. Återfört uppskov från bilaga K2;1104;Numeriskt_10;N;*;
7.7 Vinst från bilaga K7 och K8;1105;Numeriskt_10;N;*;
8.1 Ränteutgifter m.m. Förlust enligt bilaga K4 avsnitt C m.m.;1170;Numeriskt_10;N;*;
"8.3 Förlust fondandelar m.m. Förlust från bilaga K4 avsnitt A, K9 avsnitt B, K10,
K12 avsnitt B och K13.";1172;Numeriskt_10;N;*;
