Table 1
Fältnamn på INK2R_SKV2002-33-01-24-04;;;;;
;;;;;
;;;;;
Attribut;Fältnamn;Datatyp;Obl.;*/+/-;Regel
Framställningsdatum;DatFramst;Datum_A;J;;
Framställningstid;TidFramst;Tid_A;J;;
Fältkodsnummer;FältKod;Numeriskt_E;N;;
Intern information för framställande program/system;SystemInfo;Str_250;N;;
Korrekt organisationsnummer;PersOrgNr;Orgnr_Id_O;J;;
Uppgiftslämnarens namn;Namn;Str_250;N;;
Räkenskapsårets början;7011;Datum_D;N;;
Räkenskapsårets slut;7012;Datum_D;N;;
2.1 Immateriella anläggningstillgångar Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter;7201;Numeriskt_A;N;*;
2.2 Immateriella anläggningstillgångar Förskott avseende immateriella anläggningstillgångar;7202;Numeriskt_A;N;*;
2.3 Materiella anläggningstillgångar Byggnader och mark;7214;Numeriskt_A;N;*;
2.4 Materiella anläggningstillgångar Maskiner, inventarier och övriga materiella anläggningstillgångar;7215;Numeriskt_A;N;*;
2.5 Materiella anläggningstillgångar Förbättringsutgifter på annans fastighet;7216;Numeriskt_A;N;*;
2.6 Materiella anläggningstillgångar Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar;7217;Numeriskt_A;N;*;
2.7 Finansiella anläggningstillgångar Andelar i koncernföretag;7230;Numeriskt_A;N;*;
2.8 Finansiella anläggningstillgångar Andelar i intresseföretag och gemensamt styrda företag;7231;Numeriskt_A;N;*;
"2.9 Ägarintressen i övriga företag och 
 andra långfristiga värdepappersinnehav";7233;Numeriskt_A;N;*;
2.10 Finansiella anläggningstillgångar Fordringar hos koncern-, intresse- och  gemensamt styrda företag;7232;Numeriskt_A;N;*;
2.11 Finansiella anläggningstillgångar Lån till delägare eller närstående;7234;Numeriskt_A;N;*;
"2.12 Fordringar hos övriga företag som 
 det finns ett ägarintresse i och 
 andra långfristiga fordringar";7235;Numeriskt_A;N;*;
2.13 Varulager m.m. Råvaror och förnödenheter;7241;Numeriskt_A;N;*;
2.14 Varulager Varor under tillverkning;7242;Numeriskt_A;N;*;
2.15 Varulager Färdiga varor och handelsvaror;7243;Numeriskt_A;N;*;
2.16 Varulager Övriga lagertillgångar;7244;Numeriskt_A;N;*;
2.17 Varulager Pågående arbeten för annans räkning;7245;Numeriskt_A;N;*;
2.18 Varulager Förskott till leverantörer;7246;Numeriskt_A;N;*;
2.19 Kortfristiga fordringar Kundfordringar;7251;Numeriskt_A;N;*;
2.20 Kortfristiga fordringar Fordringar hos koncern-, intresse- och gemensamt styrda företag;7252;Numeriskt_A;N;*;
"2.21 Fordringar hos övriga företag som det 
 finns ett ägarintresse i och 
 övriga fordringar";7261;Numeriskt_A;N;*;
2.22 Kortfristiga fordringar Upparbetad men ej fakturerad intäkt;7262;Numeriskt_A;N;*;
2.23 Kortfristiga fordringar Förutbetalda kostnader och upplupna intäkter;7263;Numeriskt_A;N;*;
2.24 Kortfristiga placeringar Andelar i koncernföretag;7270;Numeriskt_A;N;*;
2.25 Kortfristiga placeringar Övriga kortfristiga placeringar;7271;Numeriskt_A;N;*;
2.26 Kassa och bank Kassa, bank och redovisningsmedel;7281;Numeriskt_A;N;*;
