Table 1
Fältnamn på INK2S_SKV2002-33-01-24-04;;;;;
;;;;;
;;;;;
Attribut;Fältnamn;Datatyp;Obl.;*/+/-;Regel
Framställningsdatum;DatFramst;Datum_A;J;;
Framställningstid;TidFramst;Tid_A;J;;
Fältkodsnummer;FältKod;Numeriskt_E;N;;
Intern information för framställande program/system;SystemInfo;Str_250;N;;
Korrekt organisationsnummer;PersOrgNr;Orgnr_Id_O;J;;
Uppgiftslämnarens namn;Namn;Str_250;N;;
Räkenskapsårets början;7011;Datum_D;N;;
Räkenskapsårets slut;7012;Datum_D;N;;
4.1 Årets resultat, vinst;7650;Numeriskt_B;N;+;Får ej förekomma om 7750 finns med och den <> 0.
4.2 Årets resultat, förlust;7750;Numeriskt_B;N;-;Får ej förekomma om 7650 finns med och den <> 0.
4.3a. Bokförda kostnader som inte ska dras av: a. Skatt på årets resultat;7651;Numeriskt_A;N;+;
b. Bokförda kostnader som inte ska dras av: b. Nedskrivning av finansiella tillgångar;7652;Numeriskt_A;N;+;
c. Bokförda kostnader som inte ska dras av: c. Andra bokförda kostnader;7653;Numeriskt_A;N;+;
4.4a. Kostnader som ska dras av men som inte ingår i det redovisade resultatet: a. Lämnade koncernbidrag;7751;Numeriskt_A;N;-;
b. Kostnader som ska dras av men som inte ingår i det redovisade resultatet: b. Andra ej bokförda kostnader;7764;Numeriskt_A;N;-;
4.5a. Bokförda intäkter som inte ska tas upp: a. Ackordsvinster;7752;Numeriskt_A;N;-;
b. Bokförda intäkter som inte ska tas upp: b. Utdelning;7753;Numeriskt_A;N;-;
c. Bokförda intäkter som inte ska tas upp: c. Andra bokförda intäkter;7754;Numeriskt_A;N;-;
"4.6a. Intäkter som ska tas upp men som inte 
 ingår i det redovisade resultatet
a. Beräknad schablonintäkt på 
 periodiseringsfonder vid 
 beskattningsårets ingång";7654;Numeriskt_B;N;+;
"b. Beräknad schablonintäkt på 
 fondandelar ägda vid 
 kalenderårets ingång";7668;Numeriskt_A;N;+;
c. Intäkter som ska tas upp men som inte ingår i det redovisade resultatet: c. Mottagna koncernbidrag;7655;Numeriskt_A;N;+;
d. Intäkter som ska tas upp men som inte ingår i det redovisade resultatet: d. Uppräknat belopp vid återföring av periodiseringsfond;7673;Numeriskt_A;N;+;
e. Intäkter som ska tas upp men som inte ingår i det redovisade resultatet: e. Andra ej bokförda intäkter;7665;Numeriskt_A;N;+;
4.7a. Avyttring av delägarrätter: a. Bokförd vinst;7755;Numeriskt_B;N;-;
b. Avyttring av delägarrätter: b. Bokförd förlust;7656;Numeriskt_B;N;+;
c. Avyttring av delägarrätter: c. Uppskov med kapitalvinst enligt blankett N4;7756;Numeriskt_B;N;-;
d. Avyttring av delägarrätter: d. Återfört uppskov med kapitalvinst enligt blankett N4;7657;Numeriskt_B;N;+;
e. Avyttring av delägarrätter: e. Kapitalvinst för beskattningsåret;7658;Numeriskt_B;N;+;
f. Avyttring av delägarrätter: f. Kapitalförlust som ska dras av;7757;Numeriskt_B;N;-;
4.8a. Andel i handelsbolag (inkl. avyttring): a. Bokförd intäkt/vinst;7758;Numeriskt_B;N;-;
b. Andel i handelsbolag (inkl. avyttring): b. Skattemässigt överskott enligt N3B;7659;Numeriskt_B;N;+;
